frame_id track_id object_class alpha box_height box_width box_length box_center_x box_center_y box_center_z box_rotation_x box_rotation_y box_rotation_z box_rotation_w box2d_minx box2d_miny box2d_maxx box2d_maxy camera
0 411 vehicle -10 1.481 1.924 4.782 1875.207 874.693 0.71 -0.011230957837827876 0.0 0.0 0.9999369308041607 320 463 545 573 CAM_FRONT
1 411 vehicle -10 1.481 1.924 4.782 1875.207 874.695 0.689 -0.009778060908422717 0.0 0.0 0.9999521936197105 199 474 504 614 CAM_FRONT
2 411 vehicle -10 1.481 1.924 4.782 1875.207 874.698 0.668 -0.008323681449023767 0.0 0.0 0.9999653575635183 14 464 445 647 CAM_FRONT
3 411 vehicle -10 1.481 1.924 4.782 1875.207 874.701 0.647 -0.006870781161456392 0.0 0.0 0.999976395904539 -320 482 358 745 CAM_FRONT
4 411 vehicle -10 1.481 1.924 4.782 1875.207 874.703 0.693 -0.005416325980424269 0.0 0.0 0.9999853315988559 -1206 486 193 960 CAM_FRONT
5 411 vehicle -10 1.481 4.782 1.924 1875.207 874.695 0.689 -0.009778060908422717 0.0 0.0 0.9999521936197105 1496 454 2101 629 CAM_FRONT_LEFT
6 411 vehicle -10 1.481 4.782 1.924 1875.207 874.698 0.668 -0.008323681449023767 0.0 0.0 0.9999653575635183 1349 446 2025 652 CAM_FRONT_LEFT
7 411 vehicle -10 1.481 4.782 1.924 1875.207 874.701 0.647 -0.006870781161456392 0.0 0.0 0.999976395904539 1160 461 1916 730 CAM_FRONT_LEFT
8 411 vehicle -10 1.481 4.782 1.924 1875.207 874.703 0.693 -0.005416325980424269 0.0 0.0 0.9999853315988559 882 463 1723 829 CAM_FRONT_LEFT
9 411 vehicle -10 1.481 1.924 4.782 1875.207 874.739 0.639 -0.003961853528219383 0.0 0.0 0.9999921518275136 180 456 1242 926 CAM_FRONT_LEFT
10 411 vehicle -10 1.481 1.924 4.782 1875.207 874.731 0.651 -0.0025057189371582712 0.0 0.0 0.9999968606813763 -2569 417 542 1408 CAM_FRONT_LEFT
11 411 vehicle -10 1.481 1.924 4.782 1875.207 874.723 0.664 -0.0010512938299300787 0.0 0.0 0.9999994473904888 1491 448 5319 1452 CAM_BACK
12 411 vehicle -10 1.481 1.924 4.782 1875.208 874.714 0.676 0.00040324394575633025 0.0 0.0 0.9999999186971568 1222 483 1820 704 CAM_BACK
13 411 vehicle -10 1.481 1.924 4.782 1875.208 874.72 0.718 0.003314245650167533 0.0 0.0 0.9999945078728034 1115 487 1395 610 CAM_BACK
14 411 vehicle -10 1.481 4.782 1.924 1875.207 874.731 0.651 -0.0025057189371582712 0.0 0.0 0.9999968606813763 634 463 1456 1220 CAM_BACK_LEFT
15 411 vehicle -10 1.481 4.782 1.924 1875.207 874.723 0.664 -0.0010512938299300787 0.0 0.0 0.9999994473904888 -393 464 684 970 CAM_BACK_LEFT
16 411 vehicle -10 1.481 4.782 1.924 1875.208 874.714 0.676 0.00040324394575633025 0.0 0.0 0.9999999186971568 -982 479 180 863 CAM_BACK_LEFT
